product__brand,product__title,product__price--regular
Paracetamol-Grindeks,"PARACETAMOL-GRINDEKS, 500 mg, tabletės, N20","<span class=""product__price--regular"">3,23€</span>"
APAP,"APAP, 500 mg, plėvele dengtos tabletės, N12","<span class=""product__price--regular"">1,99€</span>"
Paracetamol Zentiva,"PARACETAMOL ZENTIVA, 500 mg, tabletės, N20","<span class=""product__price--regular"">1,92€</span>"
Solpadeine,"SOLPADEINE, tabletės, N12","<span class=""product__price--regular"">5,37€</span>"
Solpadeine,"SOLPADEINE EXPRESS, 500 mg/65 mg, šnypščiosios tabletės, N16","<span class=""product__price--regular"">4,84€</span>"
APAP,"APAP, 500 mg, plėvele dengtos tabletės, N24","<span class=""product__price--regular"">3,51€</span>"
Saridon,"SARIDON tabletės, N10","<span class=""product__price--regular"">2,30€</span>"
Actavis,"PARACETAMOL ACTAVIS, 500 mg, tabletės, N20","<span class=""product__price--regular"">2,29€</span>"
Paracetamolis,"PARACETAMOLIS SANITAS, 500 mg, tabletės, N20","<span class=""product__price--regular"">3,44€</span>"
Solpadeine,"SOLPADEINE, tirpinamosios tabletės, N12","<span class=""product__price--regular"">5,70€</span>"
APAP,"APAP, 250 mg, granulės paketėlyje, vaikams, N10","<span class=""product__price--regular"">5,57€</span>"
Adobil,"ADOBIL, 500 mg/150 mg, plėvele dengtos tabletės, N10","<span class=""product__price--regular"">4,03€</span>"
,"EFFERALGAN, 80 mg, žvakutės, N10","<span class=""product__price--regular"">3,90€</span>"
Paracetamol-ratiopharm,"PARACETAMOL-RATIOPHARM, 125 mg, žvakutės, N10","<span class=""product__price--regular"">3,32€</span>"
Paracetamol-ratiopharm,"PARACETAMOL-RATIOPHARM, 250 mg, žvakutės, N10","<span class=""product__price--regular"">3,65€</span>"
,"EFFERALGAN, 30 mg/ml, geriamasis tirpalas, vaikams, 90 ml","<span class=""product__price--regular"">5,01€</span>"
Gripex,"GRIPEX THERMAL, 650/50/10 mg, milteliai geriamajam tirpalui, N8","<span class=""product__price--regular"">6,27€</span>"
Theraflu,"THERAFLU ND, 1000 mg/60 mg/30 mg, milteliai geriamajam tirpalui, N10","<span class=""product__price--regular"">7,67€</span>"
,"NEOCITRAMONAS, tabletės, N100","<span class=""product__price--regular"">8,77€</span>"
Fervex,"FERVEX, granulės geriamajam tirpalui vaikams, N8","<span class=""product__price--regular"">7,97€</span>"
,"METAFENEX, 200mg/500mg, plėvele dengtos tabletės, N10","<span class=""product__price--regular"">4,02€</span>"
Neoaskofenas,"NEOASKOFENAS, tabletės, N20","<span class=""product__price--regular"">3,51€</span>"
Theraflu,"THERAFLU NT, milteliai geriamajam tirpalui, N10","<span class=""product__price--regular"">7,67€</span>"
Daleron Cold3,"DALERON COLD3, plėvele dengtos tabletės, N12","<span class=""product__price--regular"">4,99€</span>"
Gripex,"GRIPEX THERMAL, 1000/100/12,2 mg, milteliai geriamajam tirpalui, N8","<span class=""product__price--regular"">6,95€</span>"
Coldrex,"COLDREX MAXGRIP LEMON, 1000 mg/10 mg/40 mg, milteliai geriamajam tirpalui, N10","<span class=""product__price--regular"">7,87€</span>"
Gripex,"GRIPEX, 500/30/15 mg, plėvele dengtos tabletės, N10","<span class=""product__price--regular"">5,70€</span>"
Daleron Cold3,"DALERON COLD3, plėvele dengtos tabletės, N24","<span class=""product__price--regular"">7,87€</span>"
Gripex,"GRIPEX, plėvele dengtos tabletės, N24","<span class=""product__price--regular"">7,90€</span>"
Theraflu,"THERAFLU ND, 1000 mg/60 mg/30 mg, milteliai geriamajam tirpalui, N6","<span class=""product__price--regular"">5,57€</span>"
Neocitramonas,"NEOCITRAMONAS, tabletės, N20","<span class=""product__price--regular"">3,58€</span>"
Gripex,"GRIPEX, plėvele dengtos tabletės, N12","<span class=""product__price--regular"">5,29€</span>"
Panadol,"PANADOL, 24mg/ml, geriamoji suspensija kūdikiams ir vaikams, 100 ml","<span class=""product__price--regular"">6,26€</span>"
,"EFFERALGAN, 150 mg, žvakutės, N10","<span class=""product__price--regular"">4,09€</span>"
,"PARACETAMOLIS SANITAS, 500 mg, tabletės, N100","<span class=""product__price--regular"">6,80€</span>"
,"PARACETAMOL KABI, 10 mg/ml, infuzinis tirpalas, 100 ml, N10","<span class=""product__price--regular"">16,74€</span>"
Coldrex,"COLDREX HOTREM LEMON, 750 mg/10 mg/60 mg, milteliai geriamajam tirpalui, N5","<span class=""product__price--regular"">4,67€</span>"
Fervex,"FERVEX, granulės geriamajam tirpalui suaugusiems, be cukraus, N8","<span class=""product__price--regular"">8,55€</span>"
Fervex,"FERVEX, granulės geriamajam tirpalui suaugusiems, N8","<span class=""product__price--regular"">7,97€</span>"
Coldrex,"COLDREX HOTREM LEMON, 750 mg/10 mg/60 mg, milteliai geriamajam tirpalui, N10","<span class=""product__price--regular"">7,38€</span>"
,"ULTRACOD, 500 mg/30 mg, tabletės, N30","<span class=""product__price--regular"">8,52€</span>"
Coldrex,"COLDREX HOTREM HONEY & LEMON, 750 mg/10 mg/60 mg, milteliai geriamajam tirpalui, N10","<span class=""product__price--regular"">7,87€</span>"
Gripex,"GRIPEX THERMAL, 300/20/5 mg, milteliai geriamajam tirpalui, N12","<span class=""product__price--regular"">6,91€</span>"
Coldrex,"COLDREX, tabletės, N12","<span class=""product__price--regular"">5,08€</span>"
Theraflu,"THERAFLU NT, milteliai geriamajam tirpalui, N6","<span class=""product__price--regular"">5,57€</span>"
,"NEOASKOFENAS, tabletės, N100","<span class=""product__price--regular"">8,43€</span>"
Coldrex,"COLDREX MAXGRIP LEMON, 1000 mg/10 mg/40 mg, milteliai geriamajam tirpalui, N5","<span class=""product__price--regular"">4,67€</span>"
Coldrex,"COLDREX MAXGRIP MENTHOL & BERRIES, 1000 mg/10 mg/70 mg, milteliai geriamajam tirpalui, N10","<span class=""product__price--regular"">7,87€</span>"
Theraflu,"THERAFLU, 500 mg/6,1 mg/100 mg, kietosios kapsulės, N16","<span class=""product__price--regular"">5,17€</span>"
Gripex,"GRIPEX, 500/30/15 mg, plėvele dengtos tabletės, N20","<span class=""product__price--regular"">8,18€</span>"
Gripex,"GRIPEX THERMAL, 1000/100/12,2 mg, milteliai geriamajam tirpalui, N12","<span class=""product__price--regular"">8,81€</span>"
Aliflusin,"ALIFLUSIN, 500 mg/200 mg/4 mg, šnypščiosios tabletės, N20","<span class=""product__price--regular"">6,99€</span>"
Aliflusin,"ALIFLUSIN, 500 mg/200 mg/4 mg, šnypščiosios tabletės, N10","<span class=""product__price--regular"">3,99€</span>"
Aliflusin,"ALIFLUSIN, 500 mg/200 mg/4 mg, šnypščiosios granulės, N10","<span class=""product__price--regular"">4,99€</span>"
Aliflusin,"ALIFLUSIN, 500 mg/200 mg/4 mg, šnypščiosios granulės, N20","<span class=""product__price--regular"">7,99€</span>"
,"EFFERALGAN, 500 mg, šnypščiosios tabletės, N16",
,"EFFERALGAN C, 330 mg/200 mg, šnypščiosios tabletės, N20",
Paramax,"PARAMAX RAPID, 1000 mg, tabletės, N5",
Coldrex,"COLDREX, tabletės, N24",
,"COCODAMOL, 30 mg/500 mg, plėvele dengtos tabletės, N30",
