0,1,2
"Kategorija: Karščiuojant, Karščiuojant, Kosint, Kosint, Nereceptiniai vaistai, Peršalimo simptomų malšinimui, Peršalimo simptomų malšinimui, Peršalus, Peršalus, Sloguojant, Sloguojant, Visos prekės","THERAFLU 500 mg/6,1 mg/100 mg kapsulės N16",5.17 €
"Kategorija: Karščiuojant, Karščiuojant, Kosint, Kosint, Nereceptiniai vaistai, Peršalimo simptomų malšinimui, Peršalimo simptomų malšinimui, Peršalus, Peršalus, Sloguojant, Sloguojant, Visos prekės",THERAFLU ND 1000 mg/60 mg/30 mg milteliai geriamajam tirpalui N10,7.67 €
"Kategorija: Karščiuojant, Karščiuojant, Kosint, Kosint, Nereceptiniai vaistai, Peršalimo simptomų malšinimui, Peršalimo simptomų malšinimui, Peršalus, Peršalus, Skaudant gerklę, Sloguojant, Visos prekės",THERAFLU SN 500 mg/30 mg milteliai geriamajam tirpalui N10,7.05 €
"Kategorija: Karščiuojant, Karščiuojant, Kosint, Kosint, Nereceptiniai vaistai, Peršalimo simptomų malšinimui, Peršalimo simptomų malšinimui, Peršalus, Peršalus, Sloguojant, Sloguojant, Vaistai, Visos prekės",THERAFLU NT 1000 mg/60 mg/30 mg/4 mg milteliai geriamajam tirpalui N10,7.67 €
"Kategorija: Galvos skausmas, Galvos skausmas, Menstruaciniai skausmai, Menstruaciniai skausmai, Nereceptiniai vaistai, Skausmui malšinti , Skausmui malšinti, Visos prekės",SOLPADEINE 500 mg/8 mg/30 mg tabletės N12,5.23 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Nereceptiniai vaistai, Peršalus, Peršalus, Skausmui malšinti , Skausmui malšinti, Visos prekės",SOLPADEINE Express 500 mg/65 mg šnypščiosios tabletės N16,4.67 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Menstruaciniai skausmai, Menstruaciniai skausmai, Nereceptiniai vaistai, Peršalimo simptomų malšinimui, Peršalimo simptomų malšinimui, Peršalus, Peršalus, Raumenims, sanariams, Raumenims, sanariams, Sąnarių skausmas, Sąnarių skausmas, Skausmui malšinti, Skausmui malšinti , Visos prekės",SOLPADEINE 500 mg/8 mg/30 mg tirpinamosios tabletės N12,5.70 €
"Kategorija: Galvos skausmas, Galvos skausmas, Nereceptiniai vaistai, Skausmui malšinti , Skausmui malšinti, Visos prekės",SARIDON 250 mg/150 mg/50 mg tabletės N10,2.30 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Menstruaciniai skausmai, Menstruaciniai skausmai, Nereceptiniai vaistai, Peršalus, Peršalus, Raumenims, sanariams, Raumenims, sanariams, Sąnarių skausmas, Sąnarių skausmas, Skausmui malšinti, Skausmui malšinti , Visos prekės",PARAMAX Rapid 500 mg tabletės N20,2.31 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Nereceptiniai vaistai, Peršalus, Peršalus, Skausmui malšinti , Skausmui malšinti, Visos prekės",PARACETAMOLIS Sanitas 500 mg tabletės N20,2.95 €
"Kategorija: Karščiuojant, Karščiuojant, Kosint, Kosint, Nereceptiniai vaistai, Peršalimo simptomų malšinimui, Peršalimo simptomų malšinimui, Peršalus, Peršalus, Sloguojant, Sloguojant, Visos prekės",THERAFLU ND 1000 mg/60 mg/30 mg milteliai geriamajam tirpalui N10,7.67 €
"Kategorija: Karščiuojant, Karščiuojant, Kosint, Kosint, Nereceptiniai vaistai, Peršalimo simptomų malšinimui, Peršalimo simptomų malšinimui, Peršalus, Peršalus, Skaudant gerklę, Sloguojant, Visos prekės",THERAFLU SN 500 mg/30 mg milteliai geriamajam tirpalui N10,7.05 €
"Kategorija: Karščiuojant, Karščiuojant, Kosint, Kosint, Nereceptiniai vaistai, Peršalimo simptomų malšinimui, Peršalimo simptomų malšinimui, Peršalus, Peršalus, Sloguojant, Sloguojant, Vaistai, Visos prekės",THERAFLU NT 1000 mg/60 mg/30 mg/4 mg milteliai geriamajam tirpalui N10,7.67 €
"Kategorija: Galvos skausmas, Galvos skausmas, Menstruaciniai skausmai, Menstruaciniai skausmai, Nereceptiniai vaistai, Skausmui malšinti , Skausmui malšinti, Visos prekės",SOLPADEINE 500 mg/8 mg/30 mg tabletės N12,5.23 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Nereceptiniai vaistai, Peršalus, Peršalus, Skausmui malšinti , Skausmui malšinti, Visos prekės",SOLPADEINE Express 500 mg/65 mg šnypščiosios tabletės N16,4.67 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Menstruaciniai skausmai, Menstruaciniai skausmai, Nereceptiniai vaistai, Peršalimo simptomų malšinimui, Peršalimo simptomų malšinimui, Peršalus, Peršalus, Raumenims, sanariams, Raumenims, sanariams, Sąnarių skausmas, Sąnarių skausmas, Skausmui malšinti, Skausmui malšinti , Visos prekės",SOLPADEINE 500 mg/8 mg/30 mg tirpinamosios tabletės N12,5.70 €
"Kategorija: Galvos skausmas, Galvos skausmas, Nereceptiniai vaistai, Skausmui malšinti , Skausmui malšinti, Visos prekės",SARIDON 250 mg/150 mg/50 mg tabletės N10,2.30 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Menstruaciniai skausmai, Menstruaciniai skausmai, Nereceptiniai vaistai, Peršalus, Peršalus, Raumenims, sanariams, Raumenims, sanariams, Sąnarių skausmas, Sąnarių skausmas, Skausmui malšinti, Skausmui malšinti , Visos prekės",PARAMAX Rapid 500 mg tabletės N20,2.31 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Nereceptiniai vaistai, Peršalus, Peršalus, Skausmui malšinti , Skausmui malšinti, Visos prekės",PARACETAMOLIS Sanitas 500 mg tabletės N20,2.95 €
"Kategorija: Analgetikai, Nervų sistemą veikiantys vaistai, Receptiniai vaistai",PARACETAMOL Kabi 10 mg/ml infuzinis tirpalas 100 ml N10,16.74 €
"Kategorija: Karščiuojant, Karščiuojant, Kosint, Kosint, Nereceptiniai vaistai, Peršalimo simptomų malšinimui, Peršalimo simptomų malšinimui, Peršalus, Peršalus, Skaudant gerklę, Sloguojant, Visos prekės",THERAFLU SN 500 mg/30 mg milteliai geriamajam tirpalui N10,7.05 €
"Kategorija: Karščiuojant, Karščiuojant, Kosint, Kosint, Nereceptiniai vaistai, Peršalimo simptomų malšinimui, Peršalimo simptomų malšinimui, Peršalus, Peršalus, Sloguojant, Sloguojant, Vaistai, Visos prekės",THERAFLU NT 1000 mg/60 mg/30 mg/4 mg milteliai geriamajam tirpalui N10,7.67 €
"Kategorija: Galvos skausmas, Galvos skausmas, Menstruaciniai skausmai, Menstruaciniai skausmai, Nereceptiniai vaistai, Skausmui malšinti , Skausmui malšinti, Visos prekės",SOLPADEINE 500 mg/8 mg/30 mg tabletės N12,5.23 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Nereceptiniai vaistai, Peršalus, Peršalus, Skausmui malšinti , Skausmui malšinti, Visos prekės",SOLPADEINE Express 500 mg/65 mg šnypščiosios tabletės N16,4.67 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Menstruaciniai skausmai, Menstruaciniai skausmai, Nereceptiniai vaistai, Peršalimo simptomų malšinimui, Peršalimo simptomų malšinimui, Peršalus, Peršalus, Raumenims, sanariams, Raumenims, sanariams, Sąnarių skausmas, Sąnarių skausmas, Skausmui malšinti, Skausmui malšinti , Visos prekės",SOLPADEINE 500 mg/8 mg/30 mg tirpinamosios tabletės N12,5.70 €
"Kategorija: Galvos skausmas, Galvos skausmas, Nereceptiniai vaistai, Skausmui malšinti , Skausmui malšinti, Visos prekės",SARIDON 250 mg/150 mg/50 mg tabletės N10,2.30 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Menstruaciniai skausmai, Menstruaciniai skausmai, Nereceptiniai vaistai, Peršalus, Peršalus, Raumenims, sanariams, Raumenims, sanariams, Sąnarių skausmas, Sąnarių skausmas, Skausmui malšinti, Skausmui malšinti , Visos prekės",PARAMAX Rapid 500 mg tabletės N20,2.31 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Nereceptiniai vaistai, Peršalus, Peršalus, Skausmui malšinti , Skausmui malšinti, Visos prekės",PARACETAMOLIS Sanitas 500 mg tabletės N20,2.95 €
"Kategorija: Analgetikai, Nervų sistemą veikiantys vaistai, Receptiniai vaistai",PARACETAMOL Kabi 10 mg/ml infuzinis tirpalas 100 ml N10,16.74 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Menstruaciniai skausmai, Menstruaciniai skausmai, Nereceptiniai vaistai, Peršalus, Peršalus, Raumenims, sanariams, Raumenims, sanariams, Sąnarių skausmas, Sąnarių skausmas, Skausmui malšinti, Skausmui malšinti , Visos prekės",PARAMAX Rapid 1000 mg tabletės N5,1.36 €
"Kategorija: Karščiuojant, Karščiuojant, Kosint, Kosint, Nereceptiniai vaistai, Peršalimo simptomų malšinimui, Peršalimo simptomų malšinimui, Peršalus, Peršalus, Sloguojant, Sloguojant, Vaistai, Visos prekės",THERAFLU NT 1000 mg/60 mg/30 mg/4 mg milteliai geriamajam tirpalui N10,7.67 €
"Kategorija: Galvos skausmas, Galvos skausmas, Menstruaciniai skausmai, Menstruaciniai skausmai, Nereceptiniai vaistai, Skausmui malšinti , Skausmui malšinti, Visos prekės",SOLPADEINE 500 mg/8 mg/30 mg tabletės N12,5.23 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Nereceptiniai vaistai, Peršalus, Peršalus, Skausmui malšinti , Skausmui malšinti, Visos prekės",SOLPADEINE Express 500 mg/65 mg šnypščiosios tabletės N16,4.67 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Menstruaciniai skausmai, Menstruaciniai skausmai, Nereceptiniai vaistai, Peršalimo simptomų malšinimui, Peršalimo simptomų malšinimui, Peršalus, Peršalus, Raumenims, sanariams, Raumenims, sanariams, Sąnarių skausmas, Sąnarių skausmas, Skausmui malšinti, Skausmui malšinti , Visos prekės",SOLPADEINE 500 mg/8 mg/30 mg tirpinamosios tabletės N12,5.70 €
"Kategorija: Galvos skausmas, Galvos skausmas, Nereceptiniai vaistai, Skausmui malšinti , Skausmui malšinti, Visos prekės",SARIDON 250 mg/150 mg/50 mg tabletės N10,2.30 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Menstruaciniai skausmai, Menstruaciniai skausmai, Nereceptiniai vaistai, Peršalus, Peršalus, Raumenims, sanariams, Raumenims, sanariams, Sąnarių skausmas, Sąnarių skausmas, Skausmui malšinti, Skausmui malšinti , Visos prekės",PARAMAX Rapid 500 mg tabletės N20,2.31 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Nereceptiniai vaistai, Peršalus, Peršalus, Skausmui malšinti , Skausmui malšinti, Visos prekės",PARACETAMOLIS Sanitas 500 mg tabletės N20,2.95 €
"Kategorija: Analgetikai, Nervų sistemą veikiantys vaistai, Receptiniai vaistai",PARACETAMOL Kabi 10 mg/ml infuzinis tirpalas 100 ml N10,16.74 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Menstruaciniai skausmai, Menstruaciniai skausmai, Nereceptiniai vaistai, Peršalus, Peršalus, Raumenims, sanariams, Raumenims, sanariams, Sąnarių skausmas, Sąnarių skausmas, Skausmui malšinti, Skausmui malšinti , Visos prekės",PARAMAX Rapid 1000 mg tabletės N5,1.36 €
"Kategorija: Analgetikai, Nervų sistemą veikiantys vaistai, Receptiniai vaistai",PARACETAMOLIS Sanitas 500 mg tabletės N100,6.80 €
"Kategorija: Galvos skausmas, Galvos skausmas, Menstruaciniai skausmai, Menstruaciniai skausmai, Nereceptiniai vaistai, Skausmui malšinti , Skausmui malšinti, Visos prekės",SOLPADEINE 500 mg/8 mg/30 mg tabletės N12,5.23 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Nereceptiniai vaistai, Peršalus, Peršalus, Skausmui malšinti , Skausmui malšinti, Visos prekės",SOLPADEINE Express 500 mg/65 mg šnypščiosios tabletės N16,4.67 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Menstruaciniai skausmai, Menstruaciniai skausmai, Nereceptiniai vaistai, Peršalimo simptomų malšinimui, Peršalimo simptomų malšinimui, Peršalus, Peršalus, Raumenims, sanariams, Raumenims, sanariams, Sąnarių skausmas, Sąnarių skausmas, Skausmui malšinti, Skausmui malšinti , Visos prekės",SOLPADEINE 500 mg/8 mg/30 mg tirpinamosios tabletės N12,5.70 €
"Kategorija: Galvos skausmas, Galvos skausmas, Nereceptiniai vaistai, Skausmui malšinti , Skausmui malšinti, Visos prekės",SARIDON 250 mg/150 mg/50 mg tabletės N10,2.30 €
"Kategorija: Galvos skausmas, Galvos skausmas, Karščiuojant, Karščiuojant, Menstruaciniai skausmai, Menstruaciniai skausmai, Nereceptiniai vaistai, Peršalus, Peršalus, Raumenims, sanariams, Raumenims, sanariams, Sąnarių skausmas, Sąnarių skausmas, Skausmui malšinti, Skausmui malšinti , Visos prekės",PARAMAX Rapid 500 mg tabletės N20,2.31 €
